TAIL_NUMBER,MANUFACTURER,MODEL
N573R,Douglas,DC3A
N573UA,Boeing,757-222
N573US,Boeing,737-301
N5731,Dassault-Breguet,MYSTERE FALCON 900
N5732,Raytheon Aircraft Company,HAWKER 800XP
N5733,Gulfstream Aerospace,G-V
N5734,Raytheon Aircraft Company,HAWKER 800XP
N5735,Raytheon Aircraft Company,HAWKER 800XP
N5736,Raytheon Aircraft Company,HAWKER 800XP
N5736C,Cessna,402C
N57372,Douglas,DC3C-S1C3G
N574AA,Mcdonnell Douglas,DC-9-82(MD-82)
N574BB,Cessna,560
N574CF,Mitsubishi,MU-300
N574DA,Learjet Inc,31A
N574GA,Gulfstream Aerospace,G-V
N574GS,Beech,200
N574HK,Jetstream Aircraft Limited,JETSTREAM 4101
N574JB,Douglas,DC3C-S1C3G
N574ML,Canadair,CL-600-2B19
N574UA,Boeing,757-222
N574US,Boeing,737-301
N575A,Beech,1900C
N575AM,Mcdonnell Douglas,DC-9-82(MD-82)
N575CA,Mitsubishi,MU-2B-40
N575CT,Gulfstream Aerospace,G-IV
N575D,Beech,1900D
N575E,Gulfstream Aerospace,G-IV
N575GH,Gates Learjet Corp,55
N575MA,Fairchild,SA227-AC
N575ML,Bombardier Inc,CL-600-2B19
N575P,Beech,1900C
N575PE,Boeing,727-200
N575PR,Dehavilland,DH 114 HERON 2X
N575Q,Beech,1900C
N575SC,Dassault Aviation,FALCON 2000
N575SF,Gulfstream Aerospace,G-IV
N575UA,Boeing,757-222
N575US,Boeing,737-301
N575WW,Gates Lear Jet,35
N575Z,Beech,1900C
N5757,Lockheed,P-38
N57573,Lockheed,ELECTRA 10-A
N576AA,Mcdonnell Douglas,DC-9-82(MD-82)
N576M,Beech,G18S
N576ML,Bombardier Inc,CL-600-2B19
N576SW,Embraer,EMB-120ER
N576UA,Boeing,757-222
N576US,Boeing,737-301
N57626,Douglas,DC3C-S1C3G
N5763C,Cessna,402C
N5766,Beech,C-45
N577AA,Mcdonnell Douglas,DC-9-82(MD-82)
N577D,Beech,100
N577KA,Swearingen,SA-226AT
N577ML,Bombardier Inc,CL-600-2B19
N577PR,Dehavilland,D H 114 HERON 2DA
N577PW,Cessna,425
N577T,British Aerospace,BAE 125 SERIES 800A
N577UA,Boeing,757-222
N577US,Boeing,737-301
N577VU,Gulfstream Aerospace,G-IV
N577X,Lockheed,LEARSTAR
N57700,Douglas,DC3A
N57734,Embraer,EMB-120ER
N5774C,Cessna,402C
N5775C,Cessna,402C
N57776,Beech,C18S
N57780,Lockheed,18-56
N5779C,Cessna,402C
N578AA,Mcdonnell Douglas,DC-9-82(MD-82)
N578AF,Fairchild,SA227-AC
N578AS,Douglas,DC-6A
N578BM,Beech,200
N578FE,Mcdonnell Douglas,MD-11
N578JC,Douglas,DC-8-31
N578ML,Bombardier Inc,CL-600-2B19
N578PR,Dehavilland,DH 114 HERON 2X
N578SW,Embraer,EMB-120ER
N578UA,Boeing,757-222
N578US,Boeing,737-301
N57800,Douglas,DC3C-S1C3G
N57837,Mcdonnell Douglas,DC-9-82(MD-82)
N5785C,Cessna,402C
N57852,Boeing,757-324
N579AA,Mcdonnell Douglas,DC-9-82(MD-82)
N579CE,Cessna,560
N579FE,Mcdonnell Douglas,MD-11
N579MC,Raytheon Aircraft Company,B300
N579ML,Bombardier Inc,CL-600-2B19
N579PE,Boeing,727-243
N579SW,Embraer,EMB-120ER
N579TG,Gulfstream Aerospace,G-1159A
N579UA,Boeing,757-222
N57913,Convair,340
N57914,Convair,340
N58,Learjet Inc,60
N58AJ,Gulfstream Aerospace,G-1159A
N58AS,Beech,B200C
N58BL,Corporate Jets Limited,BAE 125-800A
N58CG,Dassault,FALCON 900 EX
N58CW,Gates Learjet Corp.,35A
N58DD,Short Bros,SD3-30 200
N58EM,Gates Lear Jet,35
N58ES,Beech,300
N58EZ,Beech,F90
N58GA,Beech,B200
N58GL,Gates Learjet Corp.,35A
N58GX,Israel Aircraft Industries,ASTRA SPX
N58HA,Cessna,560
N58HC,Gates Learjet,25D
N58HT,Rockwell International Corp,NA-265-65
N58JF,Grumman,G-1159
N58MM,Gates Learjet Corp.,35A
N58NA,Douglas,DC3C-S1C3G
N58NC,Dehavilland,CARIBOU DHC-4A
N58PM,British Aerospace,BAE 125 SERIES 800A
N58RG,Cessna,560
N58SR,Gates Learjet Corp,55
N58ST,Learjet Inc,60
N58TS,Lockheed Corporation,1329 731 JETSTAR
N580AA,Mcdonnell Douglas,DC-9-82(MD-82)
N580AS,Convair,340-31
N580BC,Grumman,G-159
N580BK,Beech,200
N580CE,Cessna,560
N580CR,Boeing,727-247
N580FE,Mcdonnell Douglas,MD-11
N580GA,Gulfstream Aerospace,G-V
N580HA,Boeing,767-33A
N580HH,Convair,440
N580JC,Douglas,DC-8-21
N580ML,Bombardier Inc,CL-600-2B19
N580PA,Beech,F90
N580PR,Dehavilland,DH 114 HERON 2X
N580RC,Cessna,560XL
N580S,Beech,B100
N580SW,Embraer,EMB-120ER
N580UA,Boeing,757-222
N580WE,Aero Commander,1121A
N58009,Beech,B200C
N5801D,Beech,C-12
N58022,Beech,B200C
N5803F,Beech,B200C
N5804C,Beech,D18S
N5805,Swearingen,SA226TC
N581AA,Mcdonnell Douglas,DC-9-82(MD-82)
N581FM,Raytheon Aircraft Company,B200
N581GA,Gulfstream Aerospace,G-V
N581HA,Boeing,767-33A
N581HG,Convair,340
N581ML,Bombardier Inc,CL-600-2B19
N581P,Convair,340-31
N581RA,Learjet Inc,31A
N581RJ,Beech,F90
N581SP,Cessna,402C
N581SW,Embraer,EMB-120ER
N581UA,Boeing,757-222
N58101,Boeing,757-224
N5812,Convair,440
N5819T,Beech,B200C
N582AA,Mcdonnell Douglas,DC-9-82(MD-82)
N582EJ,Dassault-Breguet,FALCON 50
N582FE,Mcdonnell Douglas,MD-11F
N582GA,Gulfstream Aerospace,G-V
N582HA,Boeing,767-33A
N582HG,Convair,340
N582ML,Bombardier Inc,CL-600-2B19
N582P,Convair,440
N582PR,Dehavilland,DH 114 HERON 2X
N582R,Douglas,DC3C
N582SW,Embraer,EMB-120ER
N582UA,Boeing,757-222
N5820C,Cessna,402C
N5822,Convair,340-31
N5824A,Mcdonnell Douglas,DC-8F-55
N58246,Consolidat/Us Hist Acft Museum,B-24D
N5826C,Cessna,402C
N583AA,Mcdonnell Douglas,DC-9-82(MD-82)
N583AN,Mcdonnell Douglas Aircraft Co,MD 83
N583AT,Raytheon Aircraft Company,B300
N583BS,Gates Learjet Corp.,35A
N583CC,Boeing,737-291
N583CE,Cessna,560
N583D,Gulfstream Aerospace,G-1159A
N583FE,Mcdonnell Douglas,MD-11
N583HG,Convair,340
N583LJ,Learjet Inc,31A
N583MD,Mcdonnell Douglas,DC-9-83(MD-83)
N583ML,Bombardier Inc,CL-600-2B19
N583P,Convair,440
N583PR,Dehavilland,DH 114 HERON 2X
N583PS,Learjet Inc,45
N583SW,Embraer,EMB-120ER
N583UA,Boeing,757-222
N583V,Douglas,DC3C
N5831B,Douglas,DC3C
N5831Y,Dee Howard Company,500
N584AA,Mcdonnell Douglas,DC-9-82(MD-82)
N584E,Convair,340
N584FE,Mcdonnell Douglas,MD-11
N584GA,Gulfstream Aerospace,G-V
N584ML,Bombardier Inc,CL-600-2B19
N584PL,Convair,340
N584PR,Dehavilland,DH 114 HERON 2X
N584SA,Swearingen,SA227-TT
N584SW,Embraer,EMB-120ER
N584UA,Boeing,757-222
N584US,Boeing,737-301
N5849C,Cessna,402C
N585AA,Mcdonnell Douglas,DC-9-82(MD-82)
N585D,Gulfstream Aerospace,G-IV
N585FE,Mcdonnell Douglas,MD-11
N585G,Beech,400A
N585GA,Gulfstream Aerospace,G-V
N585H,Douglas,DC3C-S1C3G
N585JC,Gulfstream Aerospace,G-V
N585M,Cessna,750
N585MA,Fairchild,SA227-AC
N585ML,Bombardier Inc,CL-600-2B19
N585PA,Cessna,425
N585PR,Dehavilland,DH 114 HERON 2X
N585SW,Embraer,EMB-120ER
N585TC,Mitsubishi,MU-300
N585UA,Boeing,757-222
N585US,Boeing,737-301
N5850S,Beech,H-18
N5852K,Gulfstream Aerospace,695B
N5854C,Beech,D18S
N58541,Mcdonnell Douglas,DC-9-32
N58545,Mcdonnell Douglas,DC-9-32
N5855,Beech,UC-45J
N5855M,Cessna,402B
N5856M,Cessna,402B
N586AA,Mcdonnell Douglas,DC-9-82(MD-82)
N586BC,Beech,B200
N586CC,Cessna,560
N586CS,Dassault-Breguet,FALCON 50
N586D,Gulfstream Aerospace,G-IV
N586DV,Rockwell International,690B
N586FE,Mcdonnell Douglas,MD-11
N586ML,Bombardier Inc,CL-600-2B19
N586PR,Dehavilland,DH 114 HERON 2X
N586SW,Embraer,EMB-120ER
N586UA,Boeing,757-222
N586UC,Beech,B200
N586US,Boeing,737-301
N58606,Boeing,737-524
N5867,Beech,E18S
N587AA,Mcdonnell Douglas,DC-9-82(MD-82)
N587CA,Convair,640-440D
N587FE,Mcdonnell Douglas,MD-11
N587GA,Gulfstream Aerospace,G-V
N587JA,Britten-Norman,BN-2 ISLANDER
N587MB,Douglas,DC-3S/R4D-8
N587ML,Bombardier Inc,CL-600-2B19
N587PR,Dehavilland,DH-114
N587UA,Boeing,757-222
N587US,Boeing,737-301
N58731,Douglas,DC3
N58733,Embraer,EMB-120ER
N5878K,Rockwell International,690C
N5879M,Cessna,402B
N588AA,Mcdonnell Douglas,DC-9-83(MD-83)
N588FE,Mcdonnell Douglas,MD-11
N588GA,Gulfstream Aerospace,G-V
N588H,Beech,C-45G
N588ML,Bombardier Inc,CL-600-2B19
N588PR,Dehavilland,DH-114
N588UA,Boeing,757-222
N588US,Boeing,737-301
N5888K,Beech,B300C
N589AA,Mcdonnell Douglas,DC-9-83(MD-83)
N589BA,Fairchild,SA227-AC
N589EJ,Dassault-Breguet,FALCON 50
N589FE,Mcdonnell Douglas,MD-11
N589GA,Gulfstream Aerospace,G-V
N589H,Piaggio,P180
N589HM,Gulfstream Aerospace,G-V
N589ML,Bombardier Inc,CL-600-2B19
N589PR,Dehavilland,DH-114
N589UA,Boeing,757-222
N589US,Boeing,737-301
N5891V,Britten-Norman,BN2A-26 ISLANDER
N59,Learjet Inc,60
N59AG,Dehavilland,DHC-7-102
N59AJ,Gulfstream Aerospace,G-1159A
N59BA,Embraer,EMB-110P1
N59BL,Gates Lear Jet,25B
N59BR,Raytheon Aircraft Company,HAWKER 800XP
N59CF,Dassault-Breguet,MYSTERE FALCON 900
N59DF,Cessna,560
N59E,Beech,E18S
N59EK,Beech,F90
N59EZ,Swearingen,SA226-T(B)
N59FL,Gates Lear Jet,25B
N59G,Douglas,DC3-G202A
N59GS,Beech,200
N59HJ,Gates Learjet Corp,55
N59KC,Cessna,560
N59KG,Cessna,560
N59KS,Mitsubishi,MU-2B-36
N59MD,Cessna,441
N59NA,Douglas,DC3C-S1C3G
N59PT,Israel Aircraft Industries,1124
N59RT,Cessna,441
N59RW,Mitsubishi,MU-2B-25
N59SC,Douglas,DC3
N59U,Beech,E18S
N59YV,Beech,1900D
N590A,Cessna,560
N590AA,Mcdonnell Douglas,DC-9-83(MD-83)
N590BA,Fairchild,SA227-AC
N590CA,Boeing,727-231
N590CH,Grumman,G-1159
N590CW,Dassault-Breguet,FALCON 50
N590DA,Gulfstream Aerospace,G-1159A
N590FE,Mcdonnell Douglas,MD-11
N590HG,Lockheed,188C
N590HM,Gulfstream Aerospace,G-IV
N590MA,Saab,340B
N590MH,Learjet Inc,31A
N590ML,Bombardier Inc,CL-600-2B19
N590UA,Boeing,757-222
N590US,Boeing,737-301
N5900,Douglas,DC-7C
N5900K,Rockwell International,690C
N5901,Douglas,DC-7C
N5902,Douglas,DC-7C
N5903,Douglas,DC-7C
N59050,Douglas,DC-6B
N59053,Boeing,767-424ER
N5906,Douglas,DC-7C
N59081,Airbus Industrie,A300B4-605R
N59083,Mcdonnell-Douglas,DC-10-30
N591AA,Mcdonnell Douglas,DC-9-83(MD-83)
N591DK,Cessna,560
N591FE,Mcdonnell Douglas,MD-11
N591M,Cessna,560
N591ML,Bombardier Inc,CL-600-2B19
N591SC,Gates Learjet Corp,55
N591UA,Boeing,757-222
N591US,Boeing,737-301
N59106,Airbus Industrie,A300B4-203
N59107,Airbus Industrie,A300B4-203
N59139,Airbus Industrie,A300B4-203
N5914K,Gulfstream Am Corp Comm Div,690C
N59140,Airbus Industrie,A300B4-203
N5916M,Cessna,402B
N592AA,Mcdonnell Douglas,DC-9-83(MD-83)
N592BA,Fairchild,SA227-AC
N592FE,Mcdonnell Douglas,MD-11
N592M,Cessna,560
N592ML,Bombardier Inc,CL-600-2B19
N592Q,Cessna,441
N592UA,Boeing,757-222
N592US,Boeing,737-301
N592VP,Cessna,560
N5926K,Gulfstream Am Corp Comm Div,690C
N593AA,Mcdonnell Douglas,DC-9-83(MD-83)
N593AN,Mcdonnell Douglas,DC-9-83(MD-83)
N593DJ,Beech,200
N593EW,Lockheed,PV-1
N593FE,Mcdonnell Douglas,MD-11
N593M,Cessna,560
N593MA,Beech,B300
N593MD,Cessna,560
N593ML,Bombardier Inc,CL-600-2B19
N593PN,Gates Learjet Corp.,35A
N593SW,Embraer,EMB-120
N593UA,Boeing,757-222
N59302,Boeing,737-3TO
N59314,Douglas,DC3C
N59338,Boeing,737-3TO
N594AA,Mcdonnell Douglas,DC-9-83(MD-83)
N594UA,Boeing,757-222
N595AA,Mcdonnell Douglas,DC-9-83(MD-83)
N595AM,Douglas,DC3
N595UA,Boeing,757-222
N59523,Mcdonnell Douglas,DC-9-82(MD-82)
N5955K,Gulfstream Am Corp Comm Div,690C
N5956K,Gulfstream Am Corp Comm Div,690C
N5959F,Beech,H-18
N596A,Dassault Aviation,FALCON 2000
N596AA,Mcdonnell Douglas,DC-9-83(MD-83)
N596AH,Lockheed,L-1011-385-3
N596AR,Douglas,DC3
N596DA,Dassault-Breguet,MYSTERE FALCON 20-F5
N596FE,Mcdonnell Douglas,MD-11
N596GA,Gulfstream Aerospace,G-V
N596MA,Convair,240
N596UA,Boeing,757-222
N59630,Boeing,737-524
N597AA,Mcdonnell Douglas,DC-9-83(MD-83)
N597FJ,Dassault-Breguet,FALCON 50
N597MA,Convair,340
N597U,Cessna,750
N597UA,Boeing,757-222
N59720,Lockheed,18-56
N5973V,Beech,C-45
N59792,Boeing,727-232
N598AA,Mcdonnell Douglas,DC-9-83(MD-83)
N598AC,Beech,B300
N598AJ,Boeing,727-212
N598C,Cessna,650
N598DA,Bombardier Inc,CL-600-2B16
N598DM,Cessna,402C
N598JA,Britten-Norman,BN-2A
N598JM,Israel Aircraft Industries,1124
N598UA,Boeing,757-222
N599AA,Mcdonnell Douglas,DC-9-83(MD-83)
N599AS,Cessna,441
N599CZ,Beech,99A
N599MT,Britten-Norman,BN-2A
N599P,Beech,C18S
N599PC,Britten-Norman,BN-2A-3
N6AT,Cessna,402B
N6BA,Beech,D18S
N6BB,Canadair Ltd,CL-600-2B16
N6BX,Dassault-Breguet,MYSTERE FALCON 900
N6BZ,Gulfstream Am Corp Comm Div,690D
N6CA,Douglas,C-47B
N6E,Aero Commander,681
N6EA,Beech,200
N6FE,Learjet Inc,45
N6GJ,Beech,H-18
N6HU,Beech,200
N6JB,Canadair Ltd,CL-600-2B16
N6JW,Grumman,G-1159
N6KE,Mitsubishi,MU-2B-60
N6KF,Mitsubishi,MU-2B-36
N6MF,Beech,2000
N6NA,Beech,C-45H
N6NE,Lockheed,1329-23A
N6NR,Rockwell International Corp,NA-265-65
N6PE,Beech,B200
N6PX,Beech,200
N6QZ,Lockheed,1329-25 JETSTAR II
N6SK,Cessna,425
N6SS,Hawker Siddeley,DH.125-1A/522
N6TM,Israel Aircraft Industries,1124
N6UD,Beech,200
N6UP,Swearingen,SA227-TT
N6VB,Gulfstream Aerospace,G-IV
N6VF,Dassault/Sud,FAN JET FALCON SER F
N6VN,Gulfstream Aerospace,G-IV
N6VP,Cessna,441
N6WU,Raytheon Aircraft Company,B200
N6YV,Beech,1900D
N60AR,Raytheon Aircraft Company,B200
N60AV,Israel Aircraft Industries,1124
N60BA,Beech,E-90
N60BC,Lockheed,1329-23E
N60CD,Aero Commander,1121
N60CM,Raytheon Aircraft Company,B300
N60CN,Dassault-Breguet,FALCON 50
N60CX,Cessna,402C
N60DB,Rockwell International,690B
N60DK,Gates Lear Jet,25B
N60EE,Lockheed,1329-23E
N60EF,Mitsubishi,MU-300
N60FL,Mitsubishi,MU-2B-60
N60FX,Beech,A65-8200
N60GG,Learjet Inc,60
N60GP,Cessna,402B
N60GU,Grumman,G-1159
N60HJ,Canadair Ltd,CL-600 CHALLENGER
N60JT,Lockheed,18-50
N60KC,Mitsubishi,MU-2B-60
N60LC,Cessna,402C
N60LD,Cessna,402B
N60LJ,Learjet Inc,60
N60MH,Beech,E-90
N60ML,Rockwell International Corp,NA-265-60
N60MN,Learjet Inc,60
N60NB,Mitsubishi,MU-2B-60
N60NC,Dehavilland,CARIBOU DHC-4A
N60NE,Fairchild,SA227-AC
N60NF,Cessna,560
N60PA,Government Aircraft Factories,N24A
N60PC,Learjet Inc,45
N60PD,Beech,200
N60PL,Cessna,650
N60PT,Gulfstream Aerospace,G-IV
N60RD,Cessna,560
N60RE,Dassault-Breguet,MYSTERE FALCON 900
N60RL,Learjet Inc,60
N60RV,Israel Aircraft Industries,1124
N60S,Canadair Ltd,CL-600 CHALLENGER
N60SB,Learjet Inc,60
N60SL,Rockwell International,NA-265-80
N60SW,Boeing,737-2H4
N60TC,Dassault Aviation,FALCON 2000
N60TG,British Aerospace,BAE 125 SERIES 800A
N60TJ,Beech,B100
N60TR,Cessna,441
N60TX,Learjet Inc,60
N60U,Swearingen,SA226TC
N60UJ,Learjet Inc,60
N60VE,Learjet Inc,60
N60VL,Learjet Inc,60
N60WL,Gates Learjet Corp.,35A
N60YP,Raytheon Aircraft Company,B300
N600AC,Beech,E-90
N600AE,Hawker Siddeley,HS-125-600A
N600AK,Bombardier Inc,BD-700-1A10
N600AM,Beech,200
N600AS,Learjet Inc,60
N600AU,Boeing,757-225
N600AW,Learjet Inc,31
N600BG,Gulfstream Aerospace,G-1159A
N600BK,Embraer,EMB-145LR
N600BM,Gulfstream Am Corp Comm Div,690C
N600BV,Beech,200
N600BW,Cessna,560
N600C,Gates Learjet Corp,55
N600CB,Beech,B300
N600CG,Mitsubishi,MU-300
N600CH,Dassault-Breguet,FALCON 50
N600CM,Gulfstream Am Corp Comm Div,695A
N600CX,Beech,E-90
N600DD,Cessna,402B
N600DR,Gulfstream Aerospace,G-IV
N600DT,Gates Lear Jet,35
N600DW,Gulfstream Aerospace,G-IV
N600EG,Hawker Siddeley,DH.125-1A
N600EJ,Aero Commander,680FP
N600ES,Bombardier Inc,CL-600-2B16
N600G,Hawker Siddeley,HS-125-600A
N600GC,Mcdonnell Douglas,DC-10-30F
N600GG,Learjet Inc,60
N600GM,Gates Learjet,25D
N600GS,Convair,340
N600GW,Mitsubishi,MU-300
N600H,Dehavilland,DH104 DOVE 5A
N600J,British Aerospace,BAE 125 SERIES 800A
N600JD,Cessna,650
N600JM,Dassault,FALCON 900 EX
N600KA,Beech,300
N600L,Learjet Inc,60
N600LC,Learjet Inc,60
N600LF,Cessna,560
N600LN,Learjet Inc,60
N600LS,British Aerospace,BAE 125 SERIES 1000A
N600M,Beech,D18S
N600ME,Douglas,DC-9-14
N600MK,Beechcraft-Hawker Corp.,BH-125-600A
N600MM,Rockwell International Corp,695
N600N,Dassault Aviation,MYSTERE-FALCON 50
N600NA,Douglas,DC3A
N600NC,Dehavilland,CARIBOU DHC-4A
N600PM,Gulfstream Aerospace,G-IV
N600PR,Dehavilland,D H 114 HERON 2DA
N600QX,Bombardier Inc,CL-600-2C10
N600RA,Aerospatiale,SN-601 CORVETTE
N600RC,Douglas,DC-3A-S1C3G
N600SB,Raytheon Aircraft Company,400A
N600SV,Hawker Siddeley,DH.125-3A/RA
N600TA,Raytheon Aircraft Company,B200
N600TB,Mitsubishi,MU-2B-25
N600TM,Cessna,402B
N600TR,Mcdonnell Douglas,DC-9-51
N600UA,Douglas,DC-6B
N600UW,Beech,C-45H
N600VC,Gulfstream Aerospace,G-IV
N600WD,Dassault/Sud,FAN JET FALCON SER E
N600WG,Dassault-Breguet,FALCON 50
N600WJ,Hawker Siddeley,HS-125-600A
N600WM,Beech,F90
N600WN,Boeing,737-3H4
N600WS,Rockwell International,690B
N6000K,Lockheed,18-56
N6000M,Beech,H-18
N6000V,Douglas,DC-7C
N60004,Beech,D18S
N6004U,Fokker,F.28 MK4000
N60049,Douglas,DC3
N6008E,Dehavilland,DHC-6 310 TWIN OTTER
N601AA,Canadair Ltd,CL-600-2A12
N601AB,Cessna,650
N601AE,Canadair Ltd,CL-600-2A12
N601AF,Canadair Ltd,CL-600-2B16
N601AN,Boeing,757-223
N601AP,Mcdonnell Douglas,DC-9-51
N601AU,Boeing,757-225
N601BA,British Aerospace,BAE 125 SERIES 800A
N601BE,Canadair Ltd,CL-600-2B16
N601BW,Canadair Ltd,CL-600-2B16
N601CA,Short Bros,SHORTS SD3-60
N601CF,Beech,200
N601CV,Canadair Ltd,CL-600-2B16
N601DL,Boeing,757-232
N601DR,Raytheon Corporate Jets Inc,HAWKER 800XP
N601DW,Canadair Ltd,CL-600-2B16
N601EC,Canadair Ltd,CL-600-2B16
N601EG,Canadair Ltd,CL-600-2B16
N601EV,Boeing,767-3T7ER
N601FE,Mcdonnell Douglas,MD-11F
N601GC,Mcdonnell Douglas,DC-10-30F
N601GG,Learjet Inc,60
N601GH,Embraer,EMB-145LR
N601GT,Canadair Ltd,CL-600-2A12
N601JA,Beechcraft-Hawker Corp.,BH-125-600A
N601JG,Canadair Ltd,CL-600-2A12
N601JJ,Hawker Siddeley,DH.125-400A
N601JM,Canadair Ltd,CL-600-2A12
N601JP,Canadair Ltd,CL-600-2A12
N601K,Beech,TC-45G
N601KF,Canadair Ltd,CL-600-2A12
N601KJ,Canadair Ltd,CL-600-2B16
N601KK,Canadair Ltd,CL-600 CHALLENGER
N601LJ,Learjet Inc,60
N601LM,Beech,A100
N601MD,Gulfstream Aerospace,G-V
N601ME,Mcdonnell Douglas Aircraft Co,MD-88
N601NB,Canadair Ltd,CL-600-2B16
N601NW,Douglas,DC-9-32
N601PC,Beech,A100
N601PR,Canadair Ltd,CL-600-2A12
N601QX,Bombardier Inc,CL-600-2C10
N601R,Canadair Ltd,CL-600-2B16
N601RL,Canadair Ltd,CL-600-2B16
N601RS,British Aerospace,BAE 125 SERIES 800A
N601S,Canadair Ltd,CL-600-2A12
N601SA,Canadair Ltd,CL-600 CHALLENGER
N601SR,Canadair Ltd,CL600-2B16(CL601-3A)
N601ST,Canadair Ltd,CL-600-2B16
N601TP,Canadair Ltd,CL-600-2B16
N601TX,Canadair Ltd,CL-600-2A12
N601UA,Boeing,767-222
N601UP,Canadair Ltd,CL-600-2B16
N601VH,Canadair Ltd,CL-600-2B16
N601WM,Canadair Ltd,CL-600-2B16
N601WN,Boeing,737-3H4
N601WT,Gulfstream Am Corp Comm Div,690D
N601WW,Canadair Ltd,CL-600 CHALLENGER
N6012,Lockheed,18-56
N60154,Douglas,DC3
N6017C,Lockheed,749A-79
N602AB,Cessna,650
N602AE,Embraer,EMB-145LR
N602AL,Douglas,DC-8-73F
N602AN,Boeing,757-223
N602AS,Canadair Ltd,CL-600 CHALLENGER
N602AU,Boeing,757-225
N602CA,Mcdonnell Douglas,DC-9-83(MD-83)
N602CW,Canadair Ltd,CL-600 CHALLENGER
N602DL,Boeing,757-232
N602EV,Boeing,767-3T7ER
N602FE,Mcdonnell Douglas,MD-11F
N602FF,Boeing,747-124
N602GA,Hamburger Flugzeugbau,HFB 320 HANSA
N602GC,Mcdonnell Douglas,DC-10-30F
N602GL,Nihon,YS-11
N602GV,Gulfstream Aerospace,G-V
N602JR,Hawker Siddeley,DH.125-400A
N602ME,Douglas,DC-9-32
N602NW,Mcdonnell Douglas,DC-9-32
N602PM,Gulfstream Aerospace,G-IV
N602PR,Boeing,747-151
N602SW,Boeing,737-3H4
N602TA,Raytheon Aircraft Company,B200
N602TW,Boeing,767-231
N602UA,Boeing,767-222
N60214,Douglas,DC3
N603AA,Boeing,757-223
N603AB,Cessna,402C
N603AE,Embraer,EMB-145LR
N603AL,Douglas,DC-8-73F
N603AS,Swearingen,SA226TC
N603AU,Boeing,757-225
N603CA,Mcdonnell Douglas,DC-9-82(MD-82)
N603DC,Mcdonnell Douglas,DC-9-51
N603DL,Boeing,757-232
N603FE,Mcdonnell Douglas,MD-11F
N603FF,Boeing,747-130
N603GC,Mcdonnell Douglas,DC-10-30F
N603GL,Nihon,YS-11
N603LS,Beech,D18S
N603M,Dehavilland,DHC-6 TWIN OTTER
N603MC,Douglas,DC-3A-S1C3G
N603NW,Mcdonnell Douglas,DC-9-32
N603QS,Cessna,560XL
N603SC,Learjet Inc,60
N603SW,Boeing,737-3H4
N603TA,Raytheon Aircraft Company,B200
N603UA,Boeing,767-222
N603WM,Beech,300
N60312,Boeing,737-3TO
N60383,Beech,B200
N604AA,Boeing,757-223
N604AL,Douglas,DC-8-73F
N604AN,Aerospatiale,SN-601 CORVETTE
N604AS,Gates Learjet,25D
N604AU,Boeing,757-225
N604AW,Airbus Industrie,A320-232
N604BD,Bombardier Inc,CL-600-2B16
N604CD,Canadair Ltd,CL-600-2B16
N604CE,Bombardier Inc,CL-600-2B16
N604CT,Canadair Ltd,CL-600-2B16
N604CU,Canadair Ltd,CL-600-2B16
N604D,Bombardier Inc,CL-600-2B16
N604DD,Canadair Ltd,CL-600-2B16
N604DG,Embraer,EMB-145LR
N604DK,Beech,F90
N604DL,Boeing,757-232
N604DS,Canadair Ltd,CL-600-2B16
N604DW,Bombardier Inc,CL-600-2B16
N604FE,Mcdonnell Douglas,MD-11F
N604FF,Boeing,747-121
N604GA,Hamburger Flugzeugbau,HFB 320 HANSA
N604GC,Mcdonnell Douglas,DC-10-30F
N604GD,Bombardier Inc,CL-600-2B16
N604GM,Bombardier Inc,CL-600-2B16
N604HJ,Bombardier Inc,CL-600-2B16
N604JP,Bombardier Inc,CL-600-2B16
N604JR,Bombardier Inc,CL-600-2B16
N604KM,Bombardier Inc,CL-600-2B16
N604LA,Bombardier Inc,CL-600-2B16
N604LC,Canadair,CL-600-2B16(604)
N604M,Gulfstream Aerospace,G-IV
N604MU,Bombardier Inc,CL-600-2B16
N604NW,Douglas,DC-9-32
N604PM,Canadair Ltd,CL-600-2B16
N604QS,Cessna,560XL
N604RP,Bombardier Inc,CL-600-2B16
N604RT,Bombardier Inc,CL-600-2B16
N604SS,Grumman,G-73
N604SW,Boeing,737-3H4
N604SX,Bombardier Inc,CL-600-2B16
N604TA,Raytheon Aircraft Company,B200
N604TW,Boeing,767-231
N604UA,Boeing,767-222
N604UP,Bombardier Inc,CL-600-2B16
N604VF,Bombardier Inc,CL-600-2B16
N604VK,Bombardier Inc,CL-600-2B16
N604VM,Bombardier Inc,CL-600-2B16
N604WB,Canadair Ltd,CL-600-2B16
N604WS,Bombardier Inc,CL-600-2B16
N6045S,Beech,B100
N6047V,Beech,C18S
N6048F,Beech,400A
N6048V,Beech,D18S
N60480,Douglas,C-47A
N60493,Beech,C-45H
N605AA,Boeing,757-223
N605AL,Douglas,DC-8-73F
N605AU,Boeing,757-225
N605AW,Airbus Industrie,A320-232
N605CH,Gulfstream Aerospace,G-V
N605DL,Boeing,757-232
N605FE,Mcdonnell Douglas,MD-11F
N605GA,Hamburger Flugzeugbau,HFB 320 HANSA
N605GC,Mcdonnell Douglas,DC-10-30F
N605NW,Mcdonnell Douglas,DC-9-32
N605PM,Canadair Ltd,CL-600-2B16
N605RR,Embraer,EMB-145
